Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Suzuki,Swift,2004.0,22.0,134000.0,1000.0,Kirulapone,Used,Petrol,Automatic,Hatchback,silver,4200000.0
Suzuki,Wagon R,2024.0,2.0,0.0,650.0,Narammala,Brand New,Petrol,Automatic,Hatchback,white,7300000.0
Daihatsu,Mira,2023.0,3.0,6610.0,660.0,Sapugaskanda,Brand New,Petrol,Automatic,Hatchback,black,6790000.0
Toyota,Corolla,1998.0,28.0,190000.0,1500.0,Dekatana,Used,Petrol,Automatic,Saloon,white,4675000.0
Suzuki,Alto,2011.0,15.0,153000.0,1000.0,Kurunegala,Used,Petrol,Manual,Convertible,silver,3350000.0
Suzuki,Wagon R,2018.0,8.0,75000.0,650.0,Horana,Used,Hybrid,Automatic,,white,7150000.0
Toyota,Aqua,2015.0,11.0,105000.0,1000.0,Nugegoda,Used,Petrol,Automatic,Hatchback,black,8300000.0
Daihatsu,Taft,2025.0,1.0,0.0,650.0,Galnewa,Brand New,Petrol,Automatic,Liftback,black,8900000.0
Suzuki,Alto,2011.0,15.0,130000.0,990.0,Wellawatta (Colombo 06),Used,Petrol,Manual,Hatchback,other,4100000.0
Nissan,NV100,2016.0,10.0,89000.0,800.0,Dematagoda (Colombo 09),Used,Petrol,Automatic,Convertible,silver,5475000.0
Suzuki,Alto,2015.0,11.0,0.0,800.0,Beliatta,Used,Petrol,Manual,Hatchback,white,4000000.0
Suzuki,Maruti,2008.0,18.0,0.0,650.0,Maho,Used,Petrol,Manual,,blue,2275000.0
Daihatsu,Charade,1987.0,39.0,0.0,990.0,Pilimatalawa,Used,Petrol,Manual,,red,1300000.0
Micro,Panda,2011.0,15.0,118000.0,1300.0,Godagama,Used,Petrol,Manual,Hatchback,white,2495000.0
Suzuki,Spacia,2024.0,2.0,0.0,650.0,Kohuwala,Brand New,Petrol,Automatic,Hatchback,black,9400000.0
Toyota,Vios,2005.0,21.0,180000.0,1496.0,Mawathagama,Used,Petrol,Automatic,Sedan,silver,5500000.0
Suzuki,Wagon R,2018.0,8.0,69000.0,660.0,Maharagama,Used,Petrol,Automatic,Liftback,white,7100000.0
Suzuki,Maruti,2000.0,26.0,60000.0,800.0,Malabe,Used,Petrol,Manual,Hatchback,black,2375000.0
Toyota,Premio,2012.0,14.0,124000.0,1500.0,Kadawatha,Reconditioned,Petrol,Automatic,Liftback,white,9800000.0
Nissan,Sunny,1994.0,32.0,0.0,1500.0,Chilaw,Used,Petrol,Manual,Hatchback,white,3000000.0
Toyota,Vitz,2011.0,15.0,115000.0,990.0,Kiribathkumbura,Used,Petrol,Automatic,Hatchback,black,6150000.0
Renault,KWID,2016.0,10.0,53842.0,1000.0,Panadura,Used,Petrol,Manual,Hatchback,white,3600000.0
Honda,Civic,2018.0,8.0,95000.0,1000.0,Alutgama,Used,Petrol,Automatic,Hatchback,gray,11200000.0
Toyota,Aqua,2012.0,14.0,22000.0,1490.0,Panadura,Used,Hybrid,Automatic,Hatchback,black,6475000.0
Toyota,Vitz,2007.0,19.0,107000.0,1300.0,Kesbewa,Used,Petrol,Automatic,Hatchback,silver,5490000.0
Mitsubishi,i-MiEV,2013.0,13.0,130000.0,,Moratuwa,Used,Electric,Automatic,Hatchback,silver,2990000.0
Toyota,Aqua,2013.0,13.0,140000.0,1500.0,Dehiwala,Used,Hybrid,Automatic,Liftback,blue,6700000.0
Suzuki,Wagon R,2024.0,2.0,7600.0,660.0,Ampara,Brand New,Hybrid,Automatic,Hatchback,silver,7750000.0
Suzuki,Wagon R,2014.0,12.0,0.0,900.0,Rambukkana,Used,Petrol,Automatic,Hatchback,red,5900000.0
Honda,Civic,2019.0,7.0,67000.0,1000.0,Dehiwala,Used,Petrol,Automatic,Sedan,red,13400000.0
Suzuki,Alto,2015.0,11.0,131500.0,800.0,Wattala,Used,Petrol,Manual,Hatchback,gray,3750000.0
Nissan,Roox,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,white,7700000.0
Toyota,Corolla,2000.0,26.0,97000.0,1295.0,Nuwara Eliya,Used,Petrol,Automatic,Sedan,silver,3450000.0
Toyota,Aqua,2013.0,13.0,88000.0,1500.0,Kegalle,Used,Petrol,Automatic,Hatchback,blue,7250000.0
Toyota,Axio,2015.0,11.0,137000.0,1500.0,Kurunegala,Used,Petrol,Automatic,Convertible,white,10250000.0
Suzuki,Celerio,2015.0,11.0,97000.0,1000.0,Nawala,Used,Petrol,Automatic,Hatchback,black,4350000.0
Nissan,March,2000.0,26.0,160000.0,1000.0,Ratmalana,Used,Petrol,Automatic,Station wagon,blue,2850000.0
Toyota,Pixis,2015.0,11.0,0.0,650.0,Adampan,Used,Petrol,Automatic,,white,4950000.0
Suzuki,Alto,2015.0,11.0,98000.0,800.0,Kalmunai,Used,Petrol,Manual,Liftback,silver,3800000.0
Toyota,Vitz,2013.0,13.0,112450.0,1000.0,Kandy,Used,Petrol,Automatic,Hatchback,white,6100000.0
Toyota,Corolla,1996.0,30.0,0.0,1200.0,Pilimatalawa,Used,Diesel,Automatic,,white,2500000.0
Toyota,Vitz,2015.0,11.0,116000.0,1500.0,Ja-Ela,Used,Petrol,Automatic,,black,6790000.0
Mitsubishi,eK,2023.0,3.0,8000.0,650.0,Veyangoda,Reconditioned,Petrol,Automatic,Station wagon,black,6750000.0
Suzuki,Baleno,2019.0,7.0,35000.0,998.0,Biyagama,Used,Petrol,Automatic,Hatchback,white,8350000.0
Toyota,Vitz,2017.0,9.0,130000.0,990.0,Kadawatha,Used,Petrol,Automatic,Hatchback,black,6800000.0
Toyota,Corolla,2002.0,24.0,175000.0,1500.0,Wattala,Used,Petrol,Automatic,Saloon,silver,5400000.0
Toyota,Prius,2012.0,14.0,200000.0,1800.0,Nugegoda,Used,Hybrid,Automatic,Saloon,silver,8750000.0
Suzuki,Maruti,2010.0,16.0,0.0,800.0,Pilimatalawa,Used,Petrol,Manual,,blue,1750000.0
Toyota,Passo,2015.0,11.0,145000.0,1000.0,Dehiwala,Used,Petrol,Automatic,Saloon,white,6050000.0
Daihatsu,Taft,2023.0,3.0,31000.0,660.0,Horana,Brand New,Petrol,Automatic,Hatchback,black,8275000.0
Daihatsu,Boon,2017.0,9.0,52000.0,1000.0,Wellampitiya,Used,Petrol,Automatic,Sedan,red,7550000.0
Suzuki,Wagon R,2019.0,7.0,60000.0,650.0,Ratnapura,Used,Hybrid,Automatic,Hatchback,white,6995000.0
