Raw_Title,Raw_Price,Raw_Mileage,Raw_Metadata,Colour,Condition,Engine/Motor Capacity,Fuel Type,Manufacturer,Mileage,Model,Model Year,Power,Register Year,Transmission,Vehicle Type
Suzuki Alto 2015,"Rs: 4,100,000",km Find,"2026-02-15 | Malgalla Talangalla 95,600",black,Used,800,Petrol,Suzuki,95600,Alto,2015,800,2015,Manual,Car(Liftback)
Nissan AD Wagon 2001,"Rs: 3,450,000",km Find,"2026-02-15 | Bemmulla 200,000",white,Used,1300,Petrol,Nissan,200000,AD Wagon,2001,1300,2004,Automatic,Car(Station wagon)
Suzuki Wagon R 2023,"Rs: 7,700,000",km Find,"2026-02-15 | Matara 8,000",black,Brand New,650,Hybrid,Suzuki,8000,Wagon R,2023,650,Ref:,Automatic,Car(Hatchback)
Hyundai Accent 2001,"Rs: 2,250,000",km Find,"2026-02-15 | Veyangoda 210,000",brown,Used,1500,Petrol,Hyundai,210000,Accent,2001,1500,2001,Manual,Car(Sedan)
Toyota Pixis 2018,"Rs: 5,675,000",km Find,"2026-02-15 | Negombo 55,000",white,Used,960,Petrol,Toyota,55000,Pixis,2018,960,2019,Manual,Car(Hatchback)
Suzuki Spacia 2015,"Rs: 5,900,000",km Find,"2026-02-15 | Monaragala 138,000",pink,Used,960,Petrol,Suzuki,138000,Spacia,2015,960,2017,Automatic,Car(Hatchback)
Toyota Yaris 2013,"Rs: 6,850,000",km Find,"2026-02-15 | Moratuwa 120,000",blue,Used,1490,Petrol,Toyota,120000,Yaris,2013,1490,2014,Manual,Car(Sedan)
Toyota Vitz 2013,"Rs: 6,075,000",km Find,"2026-02-15 | Homagama 141,000",white,Used,960,Petrol,Toyota,141000,Vitz,2013,960,2016,Automatic,Car(Hatchback)
Honda Civic 2005,"Rs: 5,800,000",km Find,"2026-02-15 | Colombo Fort (Colombo 01) 172,000",black,Used,1600,Petrol,Honda,172000,Civic,2005,1600,2005,Manual,Car(Sedan)
Toyota Aqua 2015,"Rs: 8,175,000",km Find,"2026-02-15 | Kandy 134,000",gray,Used,1490,Hybrid,Toyota,134000,Aqua,2015,1490,2016,Automatic,Car(Hatchback)
Toyota Yaris 2023,"Rs: 7,950,000",km Find,"2026-02-15 | Kotte 76,500",white,Reconditioned,1000,Petrol,Toyota,76500,Yaris,2023,1000,2023,Automatic,Car(Hatchback)
Suzuki Wagon R 2017,"Rs: 6,385,000",km Find,"2026-02-15 | Attanagalla 88,600",white,Used,650,Hybrid,Suzuki,88600,Wagon R,2017,650,2017,Automatic,Car(Hatchback)
Nissan Sunny 2003,"Rs: 4,100,000",km Find,"2026-02-15 | Mirigama 194,000",gray,Used,1600,Petrol,Nissan,194000,Sunny,2003,1600,2003,Manual,Car(Saloon)
Suzuki Wagon R 2007,"Rs: 3,540,000",km Find,"2026-02-15 | Mulleriyawa New Town 122,000",black,Used,1061,Petrol,Suzuki,122000,Wagon R,2007,1061,2008,Manual,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Suzuki Wagon R 2018,"Rs: 7,175,000",km Find,"2026-02-15 | Wellampitiya 76,000",white,Used,650,Petrol,Suzuki,76000,Wagon R,2018,650,2018,Automatic,Car(Station wagon)
Suzuki Swift 2004,"Rs: 4,700,000",km Find,"2026-02-15 | Yatiyantota 156,000",red,Used,760,Petrol,Suzuki,156000,Swift,2004,760,2006,Manual,Car(Hatchback)
Hyundai Santro 2004,"Rs: 2,400,000",km Find,"2026-02-15 | Kadawatha 197,000",gray,Used,760,Petrol,Hyundai,197000,Santro,2004,760,2005,Manual,Car(Hatchback)
Toyota Vitz 2018,"Rs: 9,500,000",km Find,"2026-02-15 | Peradeniya 30,500",blue,Used,1000,Petrol,Toyota,30500,Vitz,2018,1000,2019,Automatic,Car(Hatchback)
Suzuki Maruti 2007,"Rs: 2,175,000",km Find,"2026-02-15 | Divulapitiya 131,200",blue,Used,800,Petrol,Suzuki,131200,Maruti,2007,800,2007,Manual,Car(Saloon)
Daihatsu Boon 2017,"Rs: 7,550,000",km Find,"2026-02-15 | Wellampitiya 52,000",red,Used,1000,Petrol,Daihatsu,52000,Boon,2017,1000,2019,Automatic,Car(Sedan)
Toyota Aqua 2012,"Rs: 7,050,000",km Find,"2026-02-15 | Maharagama 101,000",silver,Used,1490,Hybrid,Toyota,101000,Aqua,2012,1490,2014,Automatic,Car(Liftback)
Toyota Vitz 2007,"Rs: 5,490,000",km Find,"2026-02-15 | Kesbewa 107,000",silver,Used,1300,Petrol,Toyota,107000,Vitz,2007,1300,2011,Automatic,Car(Hatchback)
Toyota Prius 2009,"Rs: 8,400,000",km Find,"2026-02-15 | Kalutara 200,000",blue,Used,1780,Hybrid,Toyota,200000,Prius,2009,1780,2011,Automatic,Car(Hatchback)
Toyota Vitz 2015,"Rs: 7,800,000",km Find,"2026-02-15 | Athurugiriya 128,000",black,Used,960,Petrol,Toyota,128000,Vitz,2015,960,2018,Automatic,Car(Hatchback)
Toyota Corolla 1999,"Rs: 4,375,000",km Find,"2026-02-15 | Hanwella 275,000",white,Used,1500,Petrol,Toyota,275000,Corolla,1999,1500,2002,Manual,Car(Sedan)
Nissan Primera 2001,"Rs: 3,700,000",km Find,"2026-02-14 | Kegalle 140,000",blue,Used,1800,Petrol,Nissan,140000,Primera,2001,1800,2001,Automatic,Car(Sedan)
Suzuki Maruti 2002,"Rs: 3,650,000",km Find,"2026-02-14 | Piliyandala 95,000",brown,Used,0,Petrol,Suzuki,95000,Maruti,2002,0,2003,Manual,Car(Convertible)
Suzuki Alto 2015,"Rs: 3,795,000",km Find,"2026-02-14 | Maharagama 180,000",silver,Used,880,Petrol,Suzuki,180000,Alto,2015,880,2015,Manual,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Suzuki Maruti 2010,"Rs: 1,750,000",,2026-02-14 | Pilimatalawa Find Out More,blue,Used,800,Petrol,Suzuki,0,Maruti,2010,800,2010,Manual,Car()
Toyota Premio 2010,"Rs: 8,950,000",km Find,"2026-02-14 | Kandy 118,000",black,Used,1500,Petrol,Toyota,118000,Premio,2010,1500,2011,Automatic,Car(Hatchback)
Mitsubishi Lancer 1997,"Rs: 4,000,000",km Find,"2026-02-14 | Narahenpita (Colombo 05) 135,000",blue,Used,1300,Petrol,Mitsubishi,135000,Lancer,1997,1300,2000,Automatic,Car(Sedan)
Suzuki Alto 2015,"Rs: 3,700,000",km Find,"2026-02-14 | Medirigiriya 96,000",red,Used,796,Petrol,Suzuki,96000,Alto,2015,796,2015,Manual,Car(Hatchback)
Suzuki Wagon R 2017,"Rs: 6,490,000",km Find,"2026-02-14 | Kadawatha 180,000",white,Used,998,Petrol,Suzuki,180000,Wagon R,2017,998,2018,Automatic,Car(Hatchback)
Toyota Prius 2013,"Rs: 9,850,000",km Find,"2026-02-14 | Panadura 140,000",silver,Used,1798,Petrol,Toyota,140000,Prius,2013,1798,2016,Automatic,Car(Hatchback)
Micro Panda Cross 2016,"Rs: 4,100,000",km Find,"2026-02-14 | Dehiwala 38,400",black,Used,1300,Petrol,Micro,38400,Panda Cross,2016,1300,2016,Manual,Car(Hatchback)
Toyota Vitz 2016,"Rs: 7,300,000",km Find,"2026-02-14 | Kandy 87,565",white,Used,1000,Petrol,Toyota,87565,Vitz,2016,1000,2020,Automatic,Car(Hatchback)
Toyota Vitz 2010,"Rs: 5,650,000",km Find,"2026-02-14 | Panadura 91,000",black,Used,650,Petrol,Toyota,91000,Vitz,2010,650,2012,Automatic,Car(Hatchback)
Mazda Flair 2025,"Rs: 8,225,000",km Find,"2026-02-14 | Panadura 10,000",white,Reconditioned,650,Hybrid,Mazda,10000,Flair,2025,650,2026,Automatic,Car(Hatchback)
Suzuki Spacia 2024,"Rs: 9,500,000",,2026-02-14 | Panadura Find Out More,white,Reconditioned,650,Hybrid,Suzuki,0,Spacia,2024,650,2026,Automatic,Car(Hatchback)
Renault KWID 2016,"Rs: 3,600,000",km Find,"2026-02-14 | Panadura 53,842",white,Used,1000,Petrol,Renault,53842,KWID,2016,1000,2016,Manual,Car(Hatchback)
Suzuki Alto 2010,"Rs: 2,950,000",km Find,"2026-02-14 | Kadawatha 133,000",maroon,Used,660,Petrol,Suzuki,133000,Alto,2010,660,2010,Manual,Car(Hatchback)
Toyota Yaris 2025,"Rs: 10,750,000",,2026-02-14 | Wattala Find Out More,white,Brand New,1000,Petrol,Toyota,0,Yaris,2025,1000,Ref:,Automatic,Car(Hatchback)
Suzuki Spacia 2024,"Rs: 9,600,000",km Find,2026-02-14 | Kurunegala 300,red,Brand New,650,Hybrid,Suzuki,300,Spacia,2024,650,Ref:,Automatic,Car()
Suzuki Spacia 2024,"Rs: 9,600,000",km Find,2026-02-14 | Kurunegala 200,black,Brand New,650,Hybrid,Suzuki,200,Spacia,2024,650,Ref:,Automatic,Car()
Honda City 2001,"Rs: 3,900,000",km Find,"2026-02-14 | Anuradhapura 22,000",gray,Used,1500,Petrol,Honda,22000,City,2001,1500,2005,Manual,Car(Saloon)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Aqua 2015,"Rs: 8,100,000",km Find,"2026-02-14 | Kotawehera 150,000",white,Used,1300,Petrol,Toyota,150000,Aqua,2015,1300,2015,Automatic,Car(Liftback)
Toyota Aqua 2016,"Rs: 7,500,000",,2026-02-14 | Hinatiyana Madawala Find Out More,pink,Used,1300,Petrol,Toyota,0,Aqua,2016,1300,2018,Automatic,Car(Hatchback)
Toyota Aqua 2014,"Rs: 7,500,000",km Find,"2026-02-14 | Negombo 120,000",blue,Used,1500,Petrol,Toyota,120000,Aqua,2014,1500,2014,Automatic,Car(Hatchback)
Suzuki Alto 2014,"Rs: 4,000,000",km Find,"2026-02-14 | Kuliyapitiya 95,000",white,Used,800,Petrol,Suzuki,95000,Alto,2014,800,2014,Manual,Car(Hatchback)
Tata Indica 2014,"Rs: 5,400,000",km Find,"2026-02-14 | Matara 141,000",maroon,Used,1200,Petrol,Tata,141000,Indica,2014,1200,2014,Manual,Car(Hatchback)
Nissan Dayz 2025,"Rs: 8,200,000",km Find,2026-02-14 | Narammala 350,black,Brand New,658,Hybrid,Nissan,350,Dayz,2025,658,Ref:,Automatic,Car(Hatchback)
Suzuki Spacia 2024,"Rs: 9,600,000",km Find,2026-02-14 | Kurunegala 200,white,Brand New,650,Hybrid,Suzuki,200,Spacia,2024,650,Ref:,Automatic,Car()
Daihatsu Mira 2024,"Rs: 6,300,000",km Find,"2026-02-14 | Minuwangoda 2,000",white,Reconditioned,658,Petrol,Daihatsu,2000,Mira,2024,658,2026,Automatic,Car(Liftback)
Suzuki Spacia 2024,"Rs: 9,600,000",,2026-02-14 | Kurunegala Find Out More,green,Brand New,650,Hybrid,Suzuki,0,Spacia,2024,650,Ref:,Automatic,Car()
Suzuki Wagon R 2014,"Rs: 5,200,000",km Find,"2026-02-14 | Tangalla 205,000",white,Used,650,Petrol,Suzuki,205000,Wagon R,2014,650,2015,Automatic,Car()
Mitsubishi Lancer 1980,"Rs: 1,375,000",,2026-02-14 | Kuruwita Find Out More,green,Used,1400,Petrol,Mitsubishi,0,Lancer,1980,1400,1980,Manual,Car(Saloon)
Toyota Axio 2013,"Rs: 8,700,000",km Find,"2026-02-14 | Horana 1,500",blue,Used,1500,Petrol,Toyota,1500,Axio,2013,1500,2016,Automatic,Car(Saloon)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Mitsubishi Lancer 2003,"Rs: 5,600,000",km Find,"2026-02-14 | Anuradhapura 115,000",black,Used,16000,Petrol,Mitsubishi,115000,Lancer,2003,16000,2004,Manual,Car(Liftback)
Toyota Vitz 2017,"Rs: 7,900,000",km Find,"2026-02-14 | Gampaha 110,000",silver,Used,990,Petrol,Toyota,110000,Vitz,2017,990,2020,Automatic,Car(Hatchback)
Suzuki Alto 2016,"Rs: 4,500,000",,2026-02-13 | Anuradhapura Find Out More,other,Used,800,Petrol,Suzuki,0,Alto,2016,800,2016,Manual,Car(Hatchback)
Toyota Vios 2005,"Rs: 5,500,000",km Find,"2026-02-21 | Mawathagama 180,000",silver,Used,1496,Petrol,Toyota,180000,Vios,2005,1496,2009,Automatic,Car(Sedan)
Toyota Vitz 2016,"Rs: 7,050,000",km Find,"2026-02-13 | Delgoda 81,000",gray,Used,990,Petrol,Toyota,81000,Vitz,2016,990,2020,Automatic,Car(Hatchback)
Suzuki Maruti 2006,"Rs: 2,100,000",km Find,"2026-02-13 | Dehiowita 45,000",maroon,Used,796,Petrol,Suzuki,45000,Maruti,2006,796,2006,Manual,Car(Hatchback)
Nissan Bluebird 2007,"Rs: 6,400,000",km Find,"2026-02-13 | Panadura 175,000",maroon,Used,1500,Petrol,Nissan,175000,Bluebird,2007,1500,2007,Automatic,Car(Saloon)
Toyota Aqua 2015,"Rs: 8,100,000",km Find,"2026-02-13 | Kandy 134,000",black,Used,1300,Petrol,Toyota,134000,Aqua,2015,1300,2016,Automatic,Car(Hatchback)
Toyota Vitz 2016,"Rs: 7,200,000",,2026-02-13 | Welpalla Find Out More,black,Used,990,Petrol,Toyota,0,Vitz,2016,990,2019,Automatic,Car(Hatchback)
Suzuki Wagon R 2018,"Rs: 6,900,000",,2026-02-13 | Angoda Find Out More,black,Used,800,Petrol,Suzuki,0,Wagon R,2018,800,2018,Automatic,Car(Hatchback)
Toyota Prius 2010,"Rs: 8,500,000",km Find,"2026-02-13 | Boralesgamuwa 241,000",blue,Used,1790,Hybrid,Toyota,241000,Prius,2010,1790,2012,Automatic,Car(Sedan)
Tesla Model 3 2024,"Rs: 31,900,000",,2026-02-13 | Kotahena (Colombo 13) Find Out More,red,Reconditioned,82,Electric,Tesla,0,Model 3,2024,82,2024,Automatic,Car(Hatchback)
Nissan FB 14 1996,"Rs: 3,275,000",km Find,"2026-02-13 | Matale 200,000",gold,Used,1500,Petrol,Nissan,200000,FB 14,1996,1500,1999,Manual,Car(Saloon)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Nissan Dayz 2017,"Rs: 6,550,000",km Find,"2026-02-13 | Ja-Ela 64,000",red,Used,660,Petrol,Nissan,64000,Dayz,2017,660,2020,Automatic,Car(Station wagon)
Suzuki Celerio 2015,"Rs: 4,650,000",km Find,"2026-02-13 | Ragama 114,000",blue,Used,1500,Petrol,Suzuki,114000,Celerio,2015,1500,2015,Automatic,Car(Hatchback)
Suzuki Hustler 2024,"Rs: 8,000,000",km Find,"2026-02-13 | Rajagiriya 18,326",green,Reconditioned,660,Hybrid,Suzuki,18326,Hustler,2024,660,2026,Automatic,Car(Hatchback)
Nissan FB 15 2003,"Rs: 4,250,000",km Find,"2026-02-13 | Dankotuwa 13,000",brown,Used,2198,Diesel,Nissan,13000,FB 15,2003,2198,2008,Automatic,Car(Sedan)
Daihatsu Taft 2024,"Rs: 8,350,000",,2026-02-13 | Borella (Colombo 08) Find Out More,black,Brand New,1000,Petrol,Daihatsu,0,Taft,2024,1000,Ref:,Automatic,Car(Hatchback)
Daihatsu Taft 2024,"Rs: 9,300,000",km Find,"2026-02-13 | Rajagiriya 9,900",green,Reconditioned,660,Petrol,Daihatsu,9900,Taft,2024,660,2026,Automatic,Car(Hatchback)
Daihatsu Mira 2017,"Rs: 5,650,000",km Find,"2026-02-13 | Negombo 99,300",white,Used,650,Petrol,Daihatsu,99300,Mira,2017,650,2017,Automatic,Car(Hatchback)
Toyota Allion 2013,"Rs: 9,500,000",km Find,"2026-02-13 | Kegalle 180,000",maroon,Used,1200,Hybrid,Toyota,180000,Allion,2013,1200,2013,Automatic,Car(Hatchback)
Suzuki Celerio 2015,"Rs: 5,100,000",km Find,"2026-02-13 | Moratuwa 97,500",gray,Used,996,Petrol,Suzuki,97500,Celerio,2015,996,2015,Automatic,Car(Hatchback)
Toyota Vitz 2018,"Rs: 4,100,000",km Find,"2026-02-13 | Kandana 68,000",gray,Used,990,Hybrid,Toyota,68000,Vitz,2018,990,2019,Automatic,Car(Hatchback)
Toyota Vitz 2017,"Rs: 7,650,000",km Find,"2026-02-13 | Kandy 55,000",gray,Used,1500,Petrol,Toyota,55000,Vitz,2017,1500,2020,Automatic,Car()
Suzuki Alto 2014,"Rs: 3,280,000",km Find,"2026-02-13 | Avissawella 140,000",black,Used,650,Petrol,Suzuki,140000,Alto,2014,650,2014,Automatic,Car(Hatchback)
Suzuki Alto 2017,"Rs: 5,200,000",km Find,"2026-02-13 | Mirigama 106,000",silver,Used,0,Petrol,Suzuki,106000,Alto,2017,0,2018,Automatic,Car(Hatchback)
Suzuki Alto 2015,"Rs: 3,485,000",km Find,"2026-02-13 | Anuradhapura 132,000",black,Used,800,Petrol,Suzuki,132000,Alto,2015,800,2015,Manual,Car(Hatchback)
Perodua Viva 2011,"Rs: 3,685,000",km Find,"2026-02-13 | Gampaha 127,800",black,Used,1000,Petrol,Perodua,127800,Viva,2011,1000,2013,Manual,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Honda Accord 2001,"Rs: 4,390,000",km Find,"2026-02-13 | Panadura 192,000",silver,Used,1800,Petrol,Honda,192000,Accord,2001,1800,2005,Automatic,Car(Sedan)
Toyota Axio 2011,"Rs: 7,650,000",km Find,"2026-02-13 | Kurunegala 133,000",white,Used,1500,Petrol,Toyota,133000,Axio,2011,1500,2012,Automatic,Car(Liftback)
Suzuki Maruti 2006,"Rs: 2,040,000",km Find,"2026-02-13 | Divulapitiya 112,000",gray,Used,800,Petrol,Suzuki,112000,Maruti,2006,800,2006,Manual,Car(Hatchback)
Mitsubishi eK 2023,"Rs: 6,800,000",km Find,"2026-02-13 | Rajagiriya 10,000",black,Reconditioned,660,Petrol,Mitsubishi,10000,eK,2023,660,2026,Automatic,Car(Hatchback)
Suzuki Wagon R 2016,"Rs: 5,350,000",km Find,"2026-02-13 | Gampaha 86,000",gray,Used,650,Petrol,Suzuki,86000,Wagon R,2016,650,2018,Automatic,Car(Hatchback)
Toyota Passo 2023,"Rs: 8,050,000",km Find,"2026-02-13 | Kottawa 6,600",other,Brand New,660,Petrol,Toyota,6600,Passo,2023,660,Ref:,Automatic,Car(Hatchback)
Nissan Dayz 2025,"Rs: 8,750,000",km Find,"2026-02-13 | Negombo 1,000",white,Reconditioned,658,Petrol,Nissan,1000,Dayz,2025,658,2025,Automatic,Car(Hatchback)
Honda N WGN 2024,"Rs: 8,750,000",km Find,2026-02-13 | Negombo 100,black,Brand New,658,Petrol,Honda,100,N WGN,2024,658,Ref:,Automatic,Car(Hatchback)
Toyota Premio 2018,"Rs: 15,200,000",km Find,"2026-02-13 | Alutwewa 53,995",white,Used,1500,Petrol,Toyota,53995,Premio,2018,1500,2018,Automatic,Car(Saloon)
Toyota Axio 2015,"Rs: 9,500,000",km Find,"2026-02-13 | Dompe 107,000",purple,Used,1500,Hybrid,Toyota,107000,Axio,2015,1500,2015,Automatic,Car(Sedan)
Suzuki Wagon R 2024,"Rs: 8,500,000",,2026-02-13 | Borella (Colombo 08) Find Out More,blue,Brand New,650,Petrol,Suzuki,0,Wagon R,2024,650,Ref:,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Honda Grace 2017,"Rs: 9,000,000",km Find,"2026-02-13 | Matara 120,000",white,Reconditioned,1600,Petrol,Honda,120000,Grace,2017,1600,2017,Automatic,Car(Liftback)
Daihatsu Taft 2023,"Rs: 7,700,000",km Find,2026-02-13 | Angoda 100,white,Brand New,660,Petrol,Daihatsu,100,Taft,2023,660,2026,Automatic,Car(Hatchback)
Suzuki Spacia 2023,"Rs: 8,450,000",km Find,2026-02-13 | Angoda 100,blue,Brand New,658,Petrol,Suzuki,100,Spacia,2023,658,Ref:,Automatic,Car(Hatchback)
Suzuki Spacia 2024,"Rs: 7,950,000",,2026-02-13 | Nugegoda Find Out More,white,Brand New,658,Petrol,Suzuki,0,Spacia,2024,658,Ref:,Automatic,Car(Hatchback)
Honda N BOX 2023,"Rs: 7,550,000",km Find,"2026-02-13 | Kottawa 1,234",silver,Brand New,658,Petrol,Honda,1234,N BOX,2023,658,Ref:,Automatic,Car(Liftback)
BMW 5 Series 2012,"Rs: 16,500,000",km Find,"2026-02-13 | Colombo Fort (Colombo 01) 134,000",gold,Used,1997,Petrol,BMW,134000,5 Series,2012,1997,2013,Automatic,Car(Saloon)
Suzuki Wagon R 2024,"Rs: 7,150,000",km Find,"2026-02-13 | Veyangoda 13,700",black,Reconditioned,650,Petrol,Suzuki,13700,Wagon R,2024,650,2026,Automatic,Car(Station wagon)
Chevrolet Aveo 2011,"Rs: 3,900,000",km Find,"2026-02-13 | Matale 150,000",red,Used,1200,Petrol,Chevrolet,150000,Aveo,2011,1200,2011,Manual,Car(Saloon)
Nissan Tiida 2012,"Rs: 7,000,000",km Find,"2026-02-13 | Matale 160,000",white,Used,1500,Petrol,Nissan,160000,Tiida,2012,1500,2015,Automatic,Car(Saloon)
Suzuki Alto 2024,"Rs: 6,850,000",,2026-02-13 | Rajagiriya Find Out More,gray,Brand New,660,Petrol,Suzuki,0,Alto,2024,660,Ref:,Automatic,Car(Hatchback)
Nissan N 16 2004,"Rs: 4,000,000",,2026-02-13 | Maharagama Find Out More,maroon,Used,1500,Petrol,Nissan,0,N 16,2004,1500,2004,Automatic,Car(Saloon)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Passo 2023,"Rs: 8,100,000",km Find,"2026-02-13 | Kottawa 1,234",maroon,Brand New,660,Petrol,Toyota,1234,Passo,2023,660,Ref:,Automatic,Car(Hatchback)
Daihatsu Thor 2023,"Rs: 9,600,000",km Find,"2026-02-13 | Borella (Colombo 08) 11,700",white,Brand New,1000,Petrol,Daihatsu,11700,Thor,2023,1000,Ref:,Automatic,Car(Hatchback)
Daihatsu Thor 2022,"Rs: 9,800,000",km Find,"2026-02-13 | Adampan 21,000",blue,Brand New,1000,Petrol,Daihatsu,21000,Thor,2022,1000,Ref:,Automatic,Car(Hatchback)
Toyota Corolla 1986,"Rs: 1,685,000",km Find,"2026-02-13 | Kuruwita 1,000",blue,Used,1300,Petrol,Toyota,1000,Corolla,1986,1300,1986,Manual,Car(Hatchback)
Nissan Dayz 2024,"Rs: 8,300,000",km Find,"2026-02-13 | Rajagiriya 2,500",blue,Brand New,659,Petrol,Nissan,2500,Dayz,2024,659,Ref:,Automatic,Car(Hatchback)
Nissan Dayz 2023,"Rs: 7,250,000",km Find,"2026-02-13 | Kottawa 6,600",other,Brand New,660,Petrol,Nissan,6600,Dayz,2023,660,Ref:,Automatic,Car(Hatchback)
Toyota Aqua 2014,"Rs: 7,450,000",km Find,"2026-02-13 | Dehiwala 152,000",blue,Used,1500,Petrol,Toyota,152000,Aqua,2014,1500,2016,Automatic,Car(Liftback)
Toyota Passo 2023,"Rs: 8,100,000",km Find,"2026-02-13 | Kottawa 6,600",brown,Brand New,660,Petrol,Toyota,6600,Passo,2023,660,Ref:,Automatic,Car(Hatchback)
Geely Panda 2012,"Rs: 2,490,000",km Find,"2026-02-13 | Dankotuwa 75,000",silver,Used,1300,Petrol,Geely,75000,Panda,2012,1300,2012,Manual,Car(Liftback)
Suzuki Wagon R 2015,"Rs: 5,250,000",km Find,"2026-02-13 | Akarawita 106,900",white,Used,650,Petrol,Suzuki,106900,Wagon R,2015,650,2015,Automatic,Car()
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
